Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
b52ed67f,Tesla Model 3,NMC,75.0,67,603,13.0,0.6,1.38,Moderate,0.0419,92.63,Healthy
1ba8be9a,Wuling Air EV,LFP,26.0,4,58,33.1,0.06,0.97,Moderate,0.0201,99.58,Healthy
54d0a47b,Hyundai Ioniq 5,NMC,72.6,12,156,20.2,0.96,0.59,Moderate,0.0264,97.76,Healthy
d9f5a7dd,Tesla Model 3,NMC,75.0,84,515,27.1,0.16,0.94,Aggressive,0.0363,95.11,Healthy
9d019ee9,Ford Mustang Mach-E,NMC,88.0,14,139,33.1,0.86,0.86,Conservative,0.0248,98.45,Healthy
d47deb75,BYD Atto 3,LFP,60.0,24,319,33.8,0.79,1.19,Moderate,0.0258,97.32,Healthy
c13f570d,BYD Atto 3,LFP,60.0,38,355,27.3,0.46,1.23,Conservative,0.0236,97.41,Healthy
5c5a4d26,Ford Mustang Mach-E,NMC,88.0,53,529,24.0,0.94,2.27,Conservative,0.0373,93.64,Healthy
2d409d7e,Hyundai Ioniq 5,NMC,72.6,86,457,21.7,0.36,2.5,Conservative,0.0337,95.71,Healthy
9a0106b4,Ford Mustang Mach-E,NMC,88.0,11,140,35.7,0.09,1.22,Aggressive,0.0269,97.3,Healthy
6b6eb293,BYD Atto 3,LFP,60.0,36,184,18.3,0.71,0.54,Aggressive,0.0228,99.18,Healthy
7dda270f,Tesla Model 3,NMC,75.0,70,982,30.6,0.37,1.78,Moderate,0.0461,90.85,Healthy
2f20a48d,Hyundai Ioniq 5,NMC,72.6,69,534,21.6,0.02,0.95,Moderate,0.0331,95.93,Healthy
3b3d5b94,Tesla Model 3,NMC,75.0,64,502,22.9,0.65,0.96,Conservative,0.0336,95.39,Healthy
aba75290,Wuling Air EV,LFP,26.0,27,259,22.6,0.35,1.27,Conservative,0.0235,97.95,Healthy
ad507365,Hyundai Ioniq 5,NMC,72.6,38,524,22.7,0.94,2.39,Conservative,0.0368,94.12,Healthy
7a8d4cc4,Hyundai Ioniq 5,NMC,72.6,87,891,18.2,0.93,2.5,Moderate,0.0515,90.04,Healthy
9abf86f1,BYD Atto 3,LFP,60.0,35,294,31.2,0.05,1.29,Moderate,0.0234,98.44,Healthy
acc8d71e,Wuling Air EV,LFP,26.0,65,801,19.8,0.67,1.02,Conservative,0.0273,95.99,Healthy
60161d3f,BYD Atto 3,LFP,60.0,43,290,27.8,0.54,1.0,Conservative,0.0242,97.58,Healthy
77d8944d,BYD Atto 3,LFP,60.0,12,73,26.1,0.57,1.68,Moderate,0.0191,100.0,Healthy
f9824e54,Tesla Model 3,NMC,75.0,18,197,36.9,0.51,1.73,Conservative,0.0245,98.31,Healthy
4309bbeb,Wuling Air EV,LFP,26.0,91,922,21.2,0.11,1.12,Aggressive,0.0289,94.29,Healthy
d8dc5282,Wuling Air EV,LFP,26.0,23,176,29.3,0.23,1.02,Conservative,0.0205,99.23,Healthy
fd29e2be,Tesla Model 3,NMC,75.0,61,666,15.2,0.75,2.2,Moderate,0.0424,93.09,Healthy
891c5c28,Hyundai Ioniq 5,NMC,72.6,72,425,18.6,0.32,1.55,Moderate,0.0314,96.43,Healthy
3d3c824a,Wuling Air EV,LFP,26.0,95,826,30.3,0.74,1.17,Aggressive,0.0333,93.43,Healthy
4846a00f,Ford Mustang Mach-E,NMC,88.0,78,580,20.8,0.73,2.15,Moderate,0.0382,93.87,Healthy
1b081a0e,Tesla Model 3,NMC,75.0,28,129,18.7,0.18,0.57,Moderate,0.0228,98.68,Healthy
b6278efa,Wuling Air EV,LFP,26.0,45,571,26.4,0.79,1.13,Moderate,0.0273,96.07,Healthy
65f7cca8,Ford Mustang Mach-E,NMC,88.0,79,455,22.3,0.81,0.51,Conservative,0.0301,96.34,Healthy
6441612c,Wuling Air EV,LFP,26.0,66,725,27.6,0.66,1.16,Aggressive,0.0323,93.95,Healthy
cb06c117,Tesla Model 3,NMC,75.0,72,359,11.7,0.96,0.76,Moderate,0.0307,95.8,Healthy
fa195c84,BYD Atto 3,LFP,60.0,31,239,17.2,0.81,1.58,Conservative,0.0199,98.76,Healthy
5102f4ea,Wuling Air EV,LFP,26.0,3,31,25.4,0.52,0.81,Moderate,0.0207,99.39,Healthy
f877ce7c,BYD Atto 3,LFP,60.0,78,431,25.8,0.72,1.71,Aggressive,0.0283,95.8,Healthy
c72cf7f4,BYD Atto 3,LFP,60.0,5,24,21.7,0.01,1.88,Moderate,0.0181,100.0,Healthy
4195ecf4,Hyundai Ioniq 5,NMC,72.6,83,544,20.6,0.28,0.72,Moderate,0.035,94.99,Healthy
0f6bdde6,Hyundai Ioniq 5,NMC,72.6,31,400,39.1,0.5,2.35,Conservative,0.035,94.83,Healthy
8772b752,Tesla Model 3,NMC,75.0,86,741,27.2,0.57,2.45,Aggressive,0.0462,91.44,Healthy
4673b029,BYD Atto 3,LFP,60.0,93,1307,24.3,0.98,2.07,Moderate,0.0405,90.12,Healthy
8a781f62,Hyundai Ioniq 5,NMC,72.6,74,442,22.2,0.13,1.84,Aggressive,0.0318,95.66,Healthy
be85eec4,Wuling Air EV,LFP,26.0,74,1069,25.2,0.56,2.35,Conservative,0.0316,93.71,Healthy
d32a06c6,BYD Atto 3,LFP,60.0,18,195,39.5,0.81,1.58,Moderate,0.0238,98.33,Healthy
d26da1c4,Tesla Model 3,NMC,75.0,47,396,26.2,0.52,2.34,Conservative,0.0332,96.04,Healthy
1fa75359,Hyundai Ioniq 5,NMC,72.6,69,415,22.3,0.72,0.88,Aggressive,0.0379,94.31,Healthy
2c6c4afd,Wuling Air EV,LFP,26.0,34,501,5.5,0.3,0.96,Conservative,0.0277,97.46,Healthy
36a29056,Ford Mustang Mach-E,NMC,88.0,69,817,25.3,0.49,1.99,Moderate,0.0431,92.13,Healthy
e6147ae7,Ford Mustang Mach-E,NMC,88.0,76,1037,25.6,0.41,0.98,Moderate,0.0493,89.55,Healthy
dd554b59,Ford Mustang Mach-E,NMC,88.0,14,134,27.8,0.22,0.51,Moderate,0.0229,98.91,Healthy
47aaa1c1,Wuling Air EV,LFP,26.0,35,203,20.3,0.64,0.69,Conservative,0.0209,99.0,Healthy
6009b193,Ford Mustang Mach-E,NMC,88.0,17,234,29.5,0.76,2.07,Conservative,0.0253,98.23,Healthy
cda1e363,Ford Mustang Mach-E,NMC,88.0,57,282,22.6,0.31,1.95,Aggressive,0.0307,96.62,Healthy
72d31017,Hyundai Ioniq 5,NMC,72.6,82,535,44.5,0.8,1.04,Moderate,0.0546,88.87,Healthy
7cd9a306,Tesla Model 3,NMC,75.0,38,536,30.7,0.18,2.06,Moderate,0.0307,95.92,Healthy
c9d49dfd,BYD Atto 3,LFP,60.0,71,709,26.8,0.95,2.33,Moderate,0.031,94.4,Healthy
06279e4f,Tesla Model 3,NMC,75.0,47,521,24.8,0.61,2.2,Aggressive,0.0412,93.06,Healthy
b15816f4,BYD Atto 3,LFP,60.0,81,836,32.3,0.74,1.09,Moderate,0.0325,93.46,Healthy
ef59bd83,Tesla Model 3,NMC,75.0,35,475,24.5,0.74,1.52,Moderate,0.0354,94.79,Healthy
f17b1a57,BYD Atto 3,LFP,60.0,74,799,24.8,0.2,1.78,Conservative,0.0263,96.25,Healthy
39cce07f,Ford Mustang Mach-E,NMC,88.0,44,531,36.4,0.27,2.16,Aggressive,0.0449,91.99,Healthy
a1fa0f47,Ford Mustang Mach-E,NMC,88.0,65,786,23.5,0.46,1.66,Aggressive,0.0492,90.46,Healthy
faf660b3,BYD Atto 3,LFP,60.0,18,195,31.7,0.97,2.27,Conservative,0.0233,98.52,Healthy
5493e5ec,Ford Mustang Mach-E,NMC,88.0,2,23,20.2,0.54,1.21,Conservative,0.0216,100.0,Healthy
17d0a337,Ford Mustang Mach-E,NMC,88.0,44,296,20.2,0.25,0.88,Conservative,0.0243,98.56,Healthy
9e65c767,BYD Atto 3,LFP,60.0,1,9,29.5,0.12,2.04,Conservative,0.0222,100.0,Healthy
541a8fca,Tesla Model 3,NMC,75.0,71,769,40.7,0.77,1.99,Moderate,0.0562,87.86,Healthy
1ad1d29e,BYD Atto 3,LFP,60.0,5,46,20.1,0.5,1.13,Moderate,0.0205,99.82,Healthy
731d3976,Wuling Air EV,LFP,26.0,88,721,25.6,0.92,1.71,Moderate,0.0301,94.92,Healthy
c18907c3,Ford Mustang Mach-E,NMC,88.0,92,876,30.4,0.9,1.48,Aggressive,0.0601,86.47,Healthy
3319b3c4,Tesla Model 3,NMC,75.0,71,745,25.9,0.17,1.08,Conservative,0.0406,93.41,Healthy
d81f9ac0,Hyundai Ioniq 5,NMC,72.6,40,474,29.2,0.03,0.91,Conservative,0.0303,96.61,Healthy
7a7f8701,Hyundai Ioniq 5,NMC,72.6,59,405,11.4,0.28,0.81,Conservative,0.0278,96.93,Healthy
ae379790,Tesla Model 3,NMC,75.0,17,211,36.2,0.87,1.63,Moderate,0.0306,96.4,Healthy
9824ff9d,Ford Mustang Mach-E,NMC,88.0,84,960,14.5,0.61,0.71,Moderate,0.0495,90.06,Healthy
9b5af75e,Ford Mustang Mach-E,NMC,88.0,68,789,23.0,0.1,0.51,Aggressive,0.043,92.26,Healthy
2714a025,Hyundai Ioniq 5,NMC,72.6,47,347,24.5,0.24,1.36,Aggressive,0.0327,95.5,Healthy
50a1e824,Hyundai Ioniq 5,NMC,72.6,49,400,13.8,0.29,1.08,Moderate,0.0324,95.84,Healthy
968b9afb,Tesla Model 3,NMC,75.0,81,1069,47.5,0.03,2.43,Conservative,0.0671,83.83,Healthy
56e9fd60,Hyundai Ioniq 5,NMC,72.6,80,949,19.7,0.56,1.81,Conservative,0.0438,91.94,Healthy
be353cec,Hyundai Ioniq 5,NMC,72.6,92,980,22.5,0.5,1.4,Aggressive,0.053,88.78,Healthy
9e5c1d3e,Hyundai Ioniq 5,NMC,72.6,34,494,30.4,0.16,1.44,Moderate,0.0319,96.04,Healthy
90d3f6bf,Ford Mustang Mach-E,NMC,88.0,77,963,37.6,0.74,0.98,Moderate,0.0611,86.64,Healthy
a678786d,Ford Mustang Mach-E,NMC,88.0,33,394,26.5,0.93,1.24,Moderate,0.033,95.77,Healthy
7efea7bc,BYD Atto 3,LFP,60.0,75,632,41.7,0.38,1.5,Moderate,0.0307,94.87,Healthy
5b9f8320,Tesla Model 3,NMC,75.0,95,517,21.5,0.78,0.88,Moderate,0.0368,94.65,Healthy
b8ad0caa,BYD Atto 3,LFP,60.0,30,422,31.3,0.1,1.88,Moderate,0.0263,97.28,Healthy
0ce44753,Hyundai Ioniq 5,NMC,72.6,41,287,30.1,0.78,1.16,Moderate,0.0272,97.14,Healthy
a30c6362,Wuling Air EV,LFP,26.0,4,28,39.3,0.94,2.28,Aggressive,0.0209,100.0,Healthy
7b185493,Tesla Model 3,NMC,75.0,45,221,37.0,0.36,1.89,Aggressive,0.031,96.81,Healthy
b0104b67,Wuling Air EV,LFP,26.0,54,376,10.6,0.39,1.0,Conservative,0.0272,96.94,Healthy
dfcde969,Hyundai Ioniq 5,NMC,72.6,79,523,26.0,0.22,1.42,Moderate,0.032,96.27,Healthy
d7dbac3d,Hyundai Ioniq 5,NMC,72.6,9,104,21.4,0.9,0.96,Moderate,0.0236,98.61,Healthy
af062ddd,Wuling Air EV,LFP,26.0,50,726,20.2,0.04,1.06,Conservative,0.0268,96.58,Healthy
bdbdc74b,Tesla Model 3,NMC,75.0,6,84,32.4,0.23,1.37,Moderate,0.0213,99.75,Healthy
5e7d5eae,Wuling Air EV,LFP,26.0,9,123,23.5,0.21,0.53,Aggressive,0.022,99.24,Healthy
37b910ff,Tesla Model 3,NMC,75.0,69,581,20.3,0.37,0.53,Conservative,0.0334,95.05,Healthy
4fc59e44,Hyundai Ioniq 5,NMC,72.6,59,788,25.3,0.37,1.93,Moderate,0.0403,93.08,Healthy
8163468e,Wuling Air EV,LFP,26.0,6,65,23.0,0.04,2.31,Aggressive,0.0225,99.13,Healthy
bc755d0c,Wuling Air EV,LFP,26.0,88,767,37.6,0.71,2.09,Conservative,0.0308,94.21,Healthy
b23c7ee7,BYD Atto 3,LFP,60.0,63,358,13.6,0.18,1.31,Moderate,0.0244,98.11,Healthy
d378e8db,Hyundai Ioniq 5,NMC,72.6,82,1011,18.3,0.2,2.42,Aggressive,0.0514,89.76,Healthy
a555d7b4,BYD Atto 3,LFP,60.0,28,274,18.1,0.56,0.68,Conservative,0.0225,98.22,Healthy
e22d8fe9,Ford Mustang Mach-E,NMC,88.0,1,6,39.3,0.72,1.76,Aggressive,0.0223,99.59,Healthy
e0e97582,BYD Atto 3,LFP,60.0,33,364,22.3,0.75,2.0,Moderate,0.0262,97.49,Healthy
03ce790c,Ford Mustang Mach-E,NMC,88.0,8,69,28.0,0.04,1.52,Moderate,0.0238,99.07,Healthy
2d18b10c,Ford Mustang Mach-E,NMC,88.0,67,567,22.4,0.99,0.65,Moderate,0.0404,92.98,Healthy
795368ba,Tesla Model 3,NMC,75.0,69,586,29.7,0.0,1.98,Moderate,0.0337,95.88,Healthy
4cf726ad,Tesla Model 3,NMC,75.0,35,518,25.1,0.24,1.46,Moderate,0.0342,95.49,Healthy
e21a6f36,Wuling Air EV,LFP,26.0,3,16,18.7,0.1,2.43,Moderate,0.0208,100.0,Healthy
af66f468,Tesla Model 3,NMC,75.0,61,625,29.5,0.38,1.44,Moderate,0.0349,95.06,Healthy
e39ff04d,Ford Mustang Mach-E,NMC,88.0,43,234,14.5,0.91,2.19,Moderate,0.027,97.8,Healthy
3c056361,Hyundai Ioniq 5,NMC,72.6,11,110,18.3,0.25,0.85,Moderate,0.0239,98.83,Healthy
1317e52d,Tesla Model 3,NMC,75.0,8,50,39.4,0.11,2.37,Moderate,0.0235,99.19,Healthy
25712a65,Hyundai Ioniq 5,NMC,72.6,39,272,9.9,0.83,1.62,Moderate,0.0287,97.12,Healthy
5e1720af,BYD Atto 3,LFP,60.0,90,453,24.7,0.18,2.42,Aggressive,0.025,97.22,Healthy
2d62a75b,Hyundai Ioniq 5,NMC,72.6,79,711,46.3,0.88,0.79,Moderate,0.0662,84.69,Healthy
5e91dc62,BYD Atto 3,LFP,60.0,70,936,35.2,0.59,2.47,Moderate,0.036,92.22,Healthy
bc9c19a0,Ford Mustang Mach-E,NMC,88.0,55,258,21.4,0.05,2.48,Conservative,0.0279,97.23,Healthy
4122874d,BYD Atto 3,LFP,60.0,62,666,34.3,0.99,2.26,Conservative,0.0312,94.3,Healthy
183a12b4,Wuling Air EV,LFP,26.0,27,175,18.1,0.36,2.38,Conservative,0.0214,99.1,Healthy
3d09ab38,BYD Atto 3,LFP,60.0,67,439,34.8,0.72,0.98,Conservative,0.0256,96.6,Healthy
3fec2b23,Tesla Model 3,NMC,75.0,93,1084,28.0,0.32,1.2,Moderate,0.05,89.54,Healthy
39ef20b2,Tesla Model 3,NMC,75.0,15,150,17.6,0.35,2.14,Moderate,0.0258,98.27,Healthy
a55dd887,Tesla Model 3,NMC,75.0,63,407,22.8,0.75,0.95,Moderate,0.0331,95.63,Healthy
c138b6b8,Wuling Air EV,LFP,26.0,91,529,15.6,0.49,0.5,Moderate,0.0265,97.11,Healthy
0c7d7d7f,BYD Atto 3,LFP,60.0,82,653,18.0,0.42,1.05,Conservative,0.0275,96.63,Healthy
24ce5bf8,BYD Atto 3,LFP,60.0,45,261,36.2,0.59,1.76,Aggressive,0.0216,98.07,Healthy
627c6e91,Wuling Air EV,LFP,26.0,78,617,20.6,0.47,1.62,Moderate,0.029,96.14,Healthy
75ed86cf,Tesla Model 3,NMC,75.0,13,173,23.7,0.01,0.8,Conservative,0.0236,98.71,Healthy
ac195c19,Hyundai Ioniq 5,NMC,72.6,2,16,23.2,0.21,1.14,Moderate,0.0195,99.67,Healthy
445edb41,Ford Mustang Mach-E,NMC,88.0,30,193,27.8,0.45,1.14,Moderate,0.0241,98.8,Healthy
c2ed6a52,Hyundai Ioniq 5,NMC,72.6,53,415,12.8,0.3,2.28,Moderate,0.0314,96.52,Healthy
57b854f5,Hyundai Ioniq 5,NMC,72.6,82,349,27.1,0.32,1.43,Moderate,0.0307,96.25,Healthy
3cd06c14,Hyundai Ioniq 5,NMC,72.6,78,340,24.5,0.59,1.0,Conservative,0.0272,97.16,Healthy
a5a453fe,Wuling Air EV,LFP,26.0,65,327,30.9,0.49,0.6,Moderate,0.025,97.67,Healthy
b3bdcd9a,Wuling Air EV,LFP,26.0,70,669,10.9,0.87,2.0,Aggressive,0.0298,94.47,Healthy
23a4d88e,Wuling Air EV,LFP,26.0,17,119,21.0,0.64,2.28,Conservative,0.0223,99.47,Healthy
8072b8c0,Wuling Air EV,LFP,26.0,64,904,19.9,0.31,0.65,Conservative,0.0294,95.42,Healthy
a7f4f19b,BYD Atto 3,LFP,60.0,37,243,26.4,0.86,0.81,Moderate,0.0211,98.61,Healthy
8d25b241,Ford Mustang Mach-E,NMC,88.0,7,37,30.3,0.27,2.26,Aggressive,0.0183,99.97,Healthy
2634477a,Wuling Air EV,LFP,26.0,17,191,36.7,0.05,1.08,Aggressive,0.0224,98.75,Healthy
c7a47573,Tesla Model 3,NMC,75.0,95,1385,23.4,0.93,1.25,Moderate,0.0704,83.43,Healthy
5399ab24,BYD Atto 3,LFP,60.0,40,595,27.6,0.03,0.8,Aggressive,0.0276,96.71,Healthy
a2e64f5f,Ford Mustang Mach-E,NMC,88.0,44,271,33.9,0.83,0.72,Moderate,0.0312,96.49,Healthy
6bafb5b3,Ford Mustang Mach-E,NMC,88.0,51,212,19.4,0.29,1.33,Conservative,0.0224,99.09,Healthy
37535996,Tesla Model 3,NMC,75.0,19,186,26.9,0.18,0.54,Conservative,0.0231,99.01,Healthy
4ebf4c56,Hyundai Ioniq 5,NMC,72.6,78,451,23.7,0.64,0.51,Moderate,0.0362,94.94,Healthy
6dee8995,Hyundai Ioniq 5,NMC,72.6,53,792,27.2,0.16,1.9,Moderate,0.0423,92.6,Healthy
f0e43e80,BYD Atto 3,LFP,60.0,57,393,23.7,0.67,1.18,Moderate,0.0253,97.02,Healthy
1fcac45c,Tesla Model 3,NMC,75.0,15,145,16.5,0.54,1.7,Aggressive,0.0255,98.26,Healthy
b034e649,Ford Mustang Mach-E,NMC,88.0,59,530,38.5,0.45,1.92,Conservative,0.0393,93.57,Healthy
60872bd0,Hyundai Ioniq 5,NMC,72.6,67,565,21.3,0.46,1.93,Conservative,0.037,94.86,Healthy
eb80ea27,Wuling Air EV,LFP,26.0,83,1181,35.1,0.37,2.15,Conservative,0.0368,92.37,Healthy
db1e2624,BYD Atto 3,LFP,60.0,45,394,22.8,0.72,1.99,Moderate,0.0243,97.44,Healthy
72b2fdd7,Tesla Model 3,NMC,75.0,43,208,34.4,0.58,2.21,Moderate,0.0265,97.68,Healthy
dd51f107,Hyundai Ioniq 5,NMC,72.6,17,251,23.1,0.81,2.2,Conservative,0.0276,97.58,Healthy
725f05af,Tesla Model 3,NMC,75.0,24,137,4.2,0.5,1.78,Aggressive,0.0265,98.25,Healthy
accae271,BYD Atto 3,LFP,60.0,22,287,42.0,0.61,1.06,Moderate,0.024,97.93,Healthy
f361551a,BYD Atto 3,LFP,60.0,49,417,11.5,0.82,1.57,Aggressive,0.0269,96.56,Healthy
04946e6a,BYD Atto 3,LFP,60.0,77,448,34.0,0.62,1.45,Conservative,0.0259,96.58,Healthy
9480e6bc,Ford Mustang Mach-E,NMC,88.0,10,48,29.0,0.09,1.3,Aggressive,0.0212,99.95,Healthy
53efc1a3,Wuling Air EV,LFP,26.0,22,200,26.3,0.75,0.82,Aggressive,0.0242,97.99,Healthy
746343c2,Hyundai Ioniq 5,NMC,72.6,20,290,19.8,0.29,2.4,Conservative,0.0309,97.11,Healthy
eb06a1a4,BYD Atto 3,LFP,60.0,69,521,32.2,0.43,0.98,Conservative,0.0258,96.67,Healthy
5df054f1,Hyundai Ioniq 5,NMC,72.6,29,311,45.2,0.55,2.23,Moderate,0.036,94.87,Healthy
b6d2a255,Hyundai Ioniq 5,NMC,72.6,63,807,34.8,0.22,1.43,Conservative,0.0422,92.76,Healthy
ecd8cb45,Tesla Model 3,NMC,75.0,83,449,22.5,0.2,1.0,Moderate,0.0269,97.25,Healthy
90ac67fe,Hyundai Ioniq 5,NMC,72.6,34,442,32.0,0.46,0.64,Moderate,0.0327,95.26,Healthy
ec628978,Hyundai Ioniq 5,NMC,72.6,26,384,22.3,0.01,1.82,Moderate,0.0295,96.76,Healthy
7dc62117,BYD Atto 3,LFP,60.0,7,71,21.3,0.53,0.56,Moderate,0.0232,99.1,Healthy
7e7f91f6,Hyundai Ioniq 5,NMC,72.6,17,71,23.0,0.58,1.88,Conservative,0.0206,99.88,Healthy
a68a4c97,Hyundai Ioniq 5,NMC,72.6,11,132,30.6,0.5,1.47,Moderate,0.0194,99.6,Healthy
ab9a263a,BYD Atto 3,LFP,60.0,50,740,36.3,0.16,1.54,Conservative,0.0304,95.4,Healthy
d15229bf,Tesla Model 3,NMC,75.0,1,11,29.7,0.55,1.13,Moderate,0.0207,100.0,Healthy
ada591ff,Wuling Air EV,LFP,26.0,57,501,32.3,0.14,0.98,Moderate,0.0255,97.64,Healthy
77051d6e,Tesla Model 3,NMC,75.0,47,346,31.0,0.8,2.05,Conservative,0.0315,95.73,Healthy
432a367f,Hyundai Ioniq 5,NMC,72.6,58,863,31.6,0.01,0.62,Moderate,0.0451,91.66,Healthy
62f58fe9,BYD Atto 3,LFP,60.0,41,516,21.5,0.42,0.5,Aggressive,0.0294,96.03,Healthy
0ac3c68d,BYD Atto 3,LFP,60.0,47,317,29.8,0.04,1.38,Moderate,0.0205,98.71,Healthy
8405526a,Ford Mustang Mach-E,NMC,88.0,95,1373,18.5,0.12,1.91,Conservative,0.0484,90.23,Healthy
3788a2a1,BYD Atto 3,LFP,60.0,46,280,22.2,0.43,0.94,Conservative,0.0232,98.75,Healthy
46cdd2e4,Hyundai Ioniq 5,NMC,72.6,91,1068,28.2,0.01,1.76,Moderate,0.0471,91.19,Healthy
a97be267,Ford Mustang Mach-E,NMC,88.0,56,442,21.7,0.83,0.57,Moderate,0.0352,94.75,Healthy
80e95111,Tesla Model 3,NMC,75.0,16,236,17.1,0.47,1.39,Moderate,0.0272,97.23,Healthy
f0d139a8,BYD Atto 3,LFP,60.0,42,448,37.7,0.98,1.32,Conservative,0.0269,96.87,Healthy
dc34e7b9,Ford Mustang Mach-E,NMC,88.0,60,514,25.2,0.89,0.55,Aggressive,0.0433,92.81,Healthy
e0142551,Hyundai Ioniq 5,NMC,72.6,9,56,26.9,0.19,2.49,Moderate,0.0208,99.79,Healthy
a422599f,Ford Mustang Mach-E,NMC,88.0,59,809,31.6,0.48,0.53,Moderate,0.0465,91.21,Healthy
9711b239,Ford Mustang Mach-E,NMC,88.0,51,377,23.2,0.09,0.62,Moderate,0.0289,97.03,Healthy
f4c4991c,Tesla Model 3,NMC,75.0,56,419,32.0,0.22,2.14,Moderate,0.0309,96.45,Healthy
b36a0ef2,Ford Mustang Mach-E,NMC,88.0,90,511,6.9,0.67,0.54,Moderate,0.0347,95.02,Healthy
249bd2e1,BYD Atto 3,LFP,60.0,6,38,28.9,0.38,2.16,Moderate,0.0194,100.0,Healthy
ae34dcc4,Tesla Model 3,NMC,75.0,33,425,5.1,0.65,1.02,Conservative,0.0328,96.39,Healthy
4c46dbf9,Ford Mustang Mach-E,NMC,88.0,25,233,30.4,0.56,0.63,Aggressive,0.0288,96.73,Healthy
290be1e1,Tesla Model 3,NMC,75.0,25,157,28.7,0.36,2.1,Conservative,0.0218,99.74,Healthy
b799f05a,Hyundai Ioniq 5,NMC,72.6,18,141,22.4,0.83,2.06,Moderate,0.0225,98.9,Healthy
412a9ee5,BYD Atto 3,LFP,60.0,56,241,22.7,0.4,2.13,Moderate,0.0237,98.3,Healthy
01ec3efe,Tesla Model 3,NMC,75.0,57,840,30.2,0.98,1.64,Aggressive,0.0551,87.69,Healthy
36386b82,BYD Atto 3,LFP,60.0,53,641,37.1,0.27,1.26,Moderate,0.0302,95.22,Healthy
c2b10b02,Tesla Model 3,NMC,75.0,16,72,34.6,0.55,1.54,Moderate,0.0229,99.19,Healthy
5b4f36d1,Wuling Air EV,LFP,26.0,14,74,33.0,0.49,0.86,Aggressive,0.0226,99.22,Healthy
c5a30f8f,Wuling Air EV,LFP,26.0,54,759,18.1,0.81,1.85,Moderate,0.0311,94.72,Healthy
0855080a,Wuling Air EV,LFP,26.0,66,829,33.4,0.43,1.2,Moderate,0.0281,94.65,Healthy
0e8f7646,Hyundai Ioniq 5,NMC,72.6,16,64,32.4,0.87,1.28,Moderate,0.0215,99.61,Healthy
a81b86b1,Tesla Model 3,NMC,75.0,31,439,26.7,1.0,2.13,Conservative,0.0345,95.59,Healthy
46332890,BYD Atto 3,LFP,60.0,10,134,30.4,0.99,0.52,Aggressive,0.0226,98.51,Healthy
881aeea1,Ford Mustang Mach-E,NMC,88.0,78,332,32.4,0.05,1.07,Aggressive,0.0292,96.52,Healthy
82795184,BYD Atto 3,LFP,60.0,49,458,36.1,0.5,1.03,Moderate,0.0298,96.0,Healthy
9182ad94,Tesla Model 3,NMC,75.0,76,447,24.8,0.5,2.43,Moderate,0.0319,95.93,Healthy
bd9c25fb,Wuling Air EV,LFP,26.0,32,428,29.0,0.52,1.61,Conservative,0.022,98.1,Healthy
92371c70,Ford Mustang Mach-E,NMC,88.0,35,168,39.9,0.33,1.55,Moderate,0.0263,98.33,Healthy
c9786e2b,Ford Mustang Mach-E,NMC,88.0,80,759,23.9,0.2,2.17,Conservative,0.0396,93.54,Healthy
98e78f84,Ford Mustang Mach-E,NMC,88.0,75,479,21.7,0.25,1.77,Conservative,0.0326,95.77,Healthy
8ac66569,Wuling Air EV,LFP,26.0,84,1140,29.3,0.92,1.13,Conservative,0.0338,92.86,Healthy
760b7581,BYD Atto 3,LFP,60.0,8,105,20.4,0.29,1.87,Conservative,0.0206,99.58,Healthy
7b9714f9,Tesla Model 3,NMC,75.0,10,99,15.1,0.33,0.74,Moderate,0.0204,99.73,Healthy
50af13ea,Hyundai Ioniq 5,NMC,72.6,52,277,21.8,0.65,1.01,Moderate,0.028,97.0,Healthy
94a8cb1e,Wuling Air EV,LFP,26.0,36,255,28.1,0.88,0.77,Conservative,0.0227,98.37,Healthy
48ffac97,Hyundai Ioniq 5,NMC,72.6,28,373,24.5,0.34,2.34,Aggressive,0.0344,95.29,Healthy
94c5636f,Tesla Model 3,NMC,75.0,70,594,30.4,0.79,0.58,Aggressive,0.0428,91.81,Healthy
8984e74f,Ford Mustang Mach-E,NMC,88.0,64,489,25.7,0.58,1.83,Aggressive,0.0392,93.48,Healthy
9f361ca7,Tesla Model 3,NMC,75.0,78,803,26.8,0.67,2.37,Conservative,0.0392,92.83,Healthy
3da764f3,BYD Atto 3,LFP,60.0,46,566,17.3,0.8,1.8,Aggressive,0.0274,96.55,Healthy
7c47771c,Hyundai Ioniq 5,NMC,72.6,37,289,33.1,0.1,0.62,Moderate,0.0267,97.5,Healthy
84bdb067,Hyundai Ioniq 5,NMC,72.6,90,1234,12.6,0.77,2.34,Conservative,0.0543,88.61,Healthy
94384588,Tesla Model 3,NMC,75.0,42,321,34.4,0.94,1.67,Moderate,0.0319,95.63,Healthy
623573d3,Wuling Air EV,LFP,26.0,91,1041,15.7,0.78,2.42,Moderate,0.0355,92.54,Healthy
fd28f533,Hyundai Ioniq 5,NMC,72.6,45,540,30.4,0.96,2.15,Moderate,0.0382,94.01,Healthy
